birth_date,postcode,gender,salary
1990-Q2,1303,F,32000
1990-Q2,1300,F,63000
1990-Q3,1304,F,63000
1990-Q4,1300,F,32000
1990-Q4,1304,F,63000
1990-Q1,1302,M,63000
1990-Q2,1302,M,48000
1990-Q2,1303,M,41000
1990-Q2,1300,M,63000
1990-Q2,1303,M,32000
1990-Q2,1302,M,55000
1990-Q3,1403,F,55000
1990-Q4,1402,F,55000
1990-Q1,1401,F,63000
1990-Q3,1403,F,48000
1990-Q1,1401,F,48000
1990-Q2,1401,F,41000
1990-Q3,1403,F,88000
1990-Q4,1404,F,88000
1990-Q1,1401,F,41000
1990-Q3,1402,M,32000
1990-Q1,1402,M,32000
1990-Q4,1401,M,71000
1990-Q2,1404,M,63000
1990-Q3,1400,M,41000
1990-Q3,1401,M,55000
1996-Q4,1101,F,32000
1996-Q2,1101,F,88000
1996-Q2,1101,F,32000
1996-Q2,1102,F,71000
1996-Q4,1102,F,55000
1996-Q4,1100,F,48000
1996-Q2,1104,F,63000
1996-Q2,1102,M,88000
1996-Q3,1102,M,48000
1996-Q2,1104,M,55000
1996-Q4,1104,M,55000
1996-Q2,1100,M,55000
1996-Q1,1102,M,55000
1996-Q3,1102,M,48000
1996-Q3,1102,M,63000
1996-Q3,1204,F,63000
1996-Q3,1204,F,88000
1996-Q1,1201,F,63000
1996-Q4,1200,F,88000
1996-Q1,1201,F,48000
1996-Q1,1203,F,32000
1996-Q2,1201,F,55000
1996-Q2,1204,F,63000
1996-Q3,1204,F,55000
1996-Q1,1204,M,55000
1996-Q2,1201,M,32000
1996-Q1,1203,M,71000
1996-Q2,1203,M,41000
1996-Q3,1200,M,48000
1996-Q3,1204,M,71000
1996-Q4,1204,M,41000
1996-Q1,1302,F,71000
1996-Q3,1304,F,32000
1996-Q1,1300,F,63000
1996-Q3,1300,F,55000
1996-Q1,1303,F,41000
1996-Q3,1303,M,41000
1996-Q1,1301,M,41000
1996-Q2,1302,M,48000
1996-Q3,1302,M,32000
1996-Q1,1302,M,71000
1996-Q2,1303,M,48000
1996-Q1,1401,F,63000
1996-Q4,1403,F,41000
1996-Q2,1404,F,71000
1996-Q1,1403,F,88000
1996-Q2,1403,F,41000
1996-Q3,1404,F,88000
1996-Q1,1402,M,88000
1996-Q2,1401,M,48000
1996-Q4,1401,M,48000
1996-Q1,1404,M,55000
1996-Q1,1400,M,32000
1996-Q3,1401,M,55000
1996-Q1,1403,M,71000
